episode,steps,reward
1,13,0
2,4,0
3,3,0
4,7,0
5,4,0
6,18,1
7,7,0
8,13,0
9,8,0
10,30,0
11,14,0
12,6,0
13,51,0
14,22,0
15,11,0
16,6,0
17,28,0
18,10,0
19,40,0
20,31,0
21,31,0
22,42,0
23,27,1
24,13,0
25,23,1
26,11,0
27,20,0
28,29,0
29,46,0
30,46,0
31,8,0
32,88,1
33,10,0
34,23,0
35,5,0
36,7,0
37,12,1
38,19,1
39,30,1
40,5,0
41,6,0
42,5,0
43,40,0
44,7,0
45,12,0
46,8,0
47,10,0
48,8,0
49,17,0
50,96,0
51,10,0
52,7,0
53,12,1
54,8,1
55,12,0
56,51,1
57,28,0
58,9,0
59,25,1
60,9,1
61,38,1
62,11,1
63,6,1
64,19,0
65,16,0
66,15,1
67,23,0
68,14,0
69,11,0
70,20,0
71,62,0
72,67,1
73,9,0
74,9,0
75,32,0
76,31,0
77,35,0
78,14,1
79,7,0
80,47,1
81,18,1
82,33,1
83,11,0
84,16,1
85,38,1
86,52,0
87,50,0
88,20,1
89,27,0
90,63,0
91,61,1
92,29,1
93,24,0
94,34,1
95,44,0
96,5,0
97,19,1
98,43,0
99,63,0
100,40,0
101,12,1
102,33,0
103,10,1
104,24,1
105,21,1
106,24,1
107,60,0
108,26,1
109,18,0
110,16,1
111,63,0
112,22,0
113,58,0
114,9,1
115,49,0
116,33,1
117,5,0
118,73,0
119,22,0
120,17,0
121,46,1
122,100,0
123,20,0
124,9,0
125,17,0
126,79,1
127,26,0
128,66,0
129,19,1
130,8,0
131,13,1
132,25,1
133,87,1
134,10,1
135,71,0
136,100,0
137,9,1
138,91,1
139,13,1
140,22,0
141,60,1
142,52,1
143,62,1
144,16,1
145,100,0
146,100,0
147,14,1
148,40,1
149,38,0
150,79,1
151,92,1
152,91,1
153,15,1
154,25,1
155,37,1
156,71,0
157,21,1
158,12,1
159,100,0
160,47,1
161,27,1
162,33,1
163,49,1
164,35,1
165,14,1
166,22,0
167,56,1
168,51,1
169,42,1
170,83,1
171,23,1
172,87,1
173,16,1
174,70,1
175,52,0
176,24,0
177,16,1
178,43,1
179,24,1
180,18,0
181,83,1
182,100,0
183,74,1
184,100,0
185,10,1
186,100,0
187,72,1
188,29,0
189,59,1
190,93,1
191,21,1
192,24,1
193,48,1
194,65,1
195,42,1
196,100,0
197,89,1
198,100,0
199,26,1
200,26,0
201,37,1
202,57,0
203,52,0
204,27,1
205,80,0
206,86,1
207,61,1
208,12,1
209,9,1
210,100,0
211,25,1
212,20,1
213,11,1
214,23,1
215,40,1
216,100,0
217,19,1
218,21,1
219,68,1
220,34,1
221,46,0
222,100,0
223,35,1
224,19,1
225,42,0
226,44,1
227,23,1
228,97,1
229,93,1
230,45,1
231,89,1
232,56,1
233,7,0
234,100,0
235,18,1
236,54,0
237,63,1
238,60,1
239,62,0
240,51,1
241,38,0
242,90,1
243,21,1
244,10,1
245,100,0
246,27,1
247,33,1
248,78,1
249,24,0
250,60,1
251,27,1
252,12,1
253,50,1
254,100,0
255,45,1
256,44,1
257,30,1
258,40,1
259,19,1
260,26,1
261,51,1
262,38,1
263,43,1
264,23,0
265,61,1
266,17,1
267,11,1
268,61,1
269,6,1
270,12,1
271,88,1
272,55,0
273,42,1
274,9,0
275,16,1
276,100,0
277,73,1
278,38,1
279,18,0
280,89,1
281,57,1
282,26,1
283,14,1
284,63,1
285,38,1
286,100,0
287,76,1
288,52,1
289,11,1
290,40,0
291,10,1
292,11,0
293,16,1
294,41,1
295,33,0
296,18,1
297,38,1
298,90,1
299,100,0
300,14,1
301,15,1
302,21,0
303,54,1
304,55,1
305,65,1
306,13,0
307,100,0
308,26,1
309,18,1
310,56,1
311,32,1
312,48,1
313,65,1
314,23,1
315,96,1
316,27,0
317,35,1
318,36,0
319,100,0
320,28,1
321,89,0
322,100,0
323,90,1
324,35,1
325,73,1
326,23,1
327,73,1
328,18,1
329,17,1
330,20,1
331,11,1
