episode,steps,reward
1,2,0
2,4,0
3,12,0
4,3,0
5,12,0
6,5,0
7,3,0
8,2,0
9,4,0
10,3,0
11,6,0
12,9,0
13,10,0
14,5,0
15,9,0
16,3,0
17,10,0
18,3,0
19,8,0
20,7,0
21,5,0
22,2,0
23,2,0
24,5,0
25,6,0
26,6,0
27,5,0
28,4,0
29,9,0
30,9,0
31,8,0
32,7,0
33,9,0
34,5,0
35,12,0
36,2,0
37,4,0
38,17,0
39,7,0
40,4,0
41,2,0
42,21,0
43,3,0
44,13,0
45,10,0
46,5,0
47,3,0
48,20,0
49,8,0
50,18,0
51,4,0
52,8,0
53,16,0
54,47,0
55,26,0
56,10,0
57,4,0
58,6,0
59,11,0
60,9,0
61,8,0
62,16,0
63,26,1
64,10,0
65,12,0
66,14,0
67,26,0
68,6,0
69,4,0
70,11,0
71,10,1
72,13,0
73,12,0
74,12,0
75,9,0
76,7,0
77,19,0
78,52,0
79,10,0
80,20,0
81,6,0
82,18,0
83,15,0
84,15,0
85,7,0
86,17,0
87,18,0
88,31,0
89,13,0
90,6,0
91,10,0
92,12,0
93,5,0
94,17,0
95,16,0
96,11,1
97,13,0
98,13,0
99,11,0
100,21,0
101,12,0
102,24,0
103,15,0
104,22,0
105,12,0
106,18,0
107,21,0
108,19,0
109,7,0
110,7,0
111,7,0
112,9,0
113,60,0
114,10,0
115,21,0
116,14,0
117,15,0
118,18,0
119,58,0
120,13,0
121,65,0
122,5,0
123,9,0
124,42,0
125,24,0
126,42,0
127,30,0
128,36,0
129,13,0
130,32,0
131,35,0
132,8,0
133,95,1
134,41,0
135,9,0
136,13,0
137,13,0
138,22,1
139,100,0
140,26,0
141,11,0
142,26,1
143,88,1
144,20,0
145,39,0
146,19,0
147,67,1
148,100,0
149,45,0
150,34,0
151,51,1
152,90,0
153,42,1
154,15,1
155,19,1
156,12,0
157,52,0
158,100,0
159,100,0
160,19,1
161,100,0
162,58,1
163,29,1
164,18,1
165,19,1
166,78,1
167,13,1
168,25,1
169,87,1
170,6,1
171,16,1
172,100,0
173,9,1
174,91,1
175,13,1
176,22,0
177,60,1
178,52,1
179,62,1
180,16,1
181,100,0
182,100,0
183,14,1
184,40,1
185,38,0
186,79,1
187,93,1
188,98,1
189,7,1
190,46,1
191,38,1
192,71,0
193,25,1
194,57,1
195,30,1
196,57,1
197,27,1
198,33,1
199,49,1
200,35,1
201,15,1
202,22,0
203,57,1
204,12,1
205,42,1
206,83,1
207,23,1
208,87,1
209,16,1
210,70,1
211,52,0
212,24,0
213,16,1
214,43,1
215,24,1
216,18,0
217,83,1
218,100,0
219,74,1
220,100,0
221,10,1
222,100,0
223,72,1
224,29,0
225,59,1
226,93,1
227,21,1
228,24,1
229,48,1
230,13,1
231,42,1
232,59,1
233,89,1
234,100,0
235,26,1
236,26,0
237,37,1
238,57,0
239,52,0
240,14,1
241,66,1
242,86,1
243,61,1
244,12,1
245,9,1
246,100,0
247,25,1
248,20,1
249,11,1
250,23,1
251,40,1
252,100,0
253,19,1
254,21,1
255,68,1
256,34,1
257,100,0
258,100,0
259,35,1
260,19,1
261,42,0
262,44,1
263,23,1
264,97,1
265,93,1
266,45,1
267,89,1
268,56,1
269,7,0
270,100,0
271,18,1
272,93,1
273,63,1
274,60,1
275,62,0
276,51,1
277,38,0
278,48,1
279,21,1
280,10,1
281,100,0
282,27,1
283,33,1
284,78,1
285,24,0
286,60,1
287,27,1
288,12,1
289,50,1
290,100,0
291,45,1
292,44,1
293,30,1
294,40,1
295,19,1
296,26,1
297,51,1
298,38,1
299,43,1
300,23,0
301,61,1
302,17,1
303,11,1
304,61,1
305,6,1
306,12,1
307,43,1
308,100,0
309,42,1
310,9,0
311,16,1
312,100,0
313,73,1
314,47,1
315,18,0
316,89,1
317,57,1
318,26,1
319,14,1
320,63,1
321,38,1
322,100,0
323,76,1
324,100,0
325,11,1
326,99,1
327,10,1
328,11,0
329,16,1
330,41,1
331,100,0
332,18,1
333,38,1
334,90,1
335,100,0
336,14,1
337,15,1
338,21,0
339,54,1
340,55,1
341,65,1
342,13,0
343,100,0
344,26,1
345,18,1
346,56,1
347,32,1
348,48,1
349,65,1
350,23,1
351,96,1
352,27,0
353,35,1
354,36,0
355,100,0
356,28,1
357,44,1
358,100,0
359,90,1
360,35,1
361,73,1
362,23,1
363,73,1
364,18,1
365,17,1
366,20,1
367,11,1
368,51,1
369,42,0
370,29,1
371,14,0
372,22,1
373,24,1
374,28,1
375,48,1
376,16,1
377,89,1
378,29,0
379,18,1
380,20,1
381,63,1
382,10,1
383,80,1
384,100,0
385,27,1
386,87,0
387,95,0
388,15,0
389,46,0
390,38,1
391,44,1
392,30,1
393,23,1
394,34,1
395,17,1
396,58,0
397,27,1
398,40,1
399,15,0
400,17,0
401,33,1
402,22,1
403,19,1
404,11,1
405,100,0
406,28,1
407,11,1
408,32,1
409,37,1
410,22,1
411,23,1
412,9,1
413,22,1
414,66,0
415,14,1
416,50,0
417,12,1
418,46,0
419,82,0
420,40,1
421,27,1
422,95,1
423,83,1
424,15,1
425,48,1
426,12,1
427,40,1
428,33,0
429,27,1
430,68,1
431,26,1
432,100,0
433,35,1
434,15,1
435,27,1
436,43,0
437,27,1
438,76,1
439,25,1
440,100,0
441,82,1
442,24,1
443,17,1
444,19,1
445,30,1
446,25,1
447,11,1
448,100,0
449,55,1
450,17,0
451,30,1
452,100,0
453,70,1
454,100,0
455,100,0
456,68,1
457,14,1
458,10,1
459,99,1
460,100,0
461,41,1
462,74,1
463,33,1
464,38,0
465,39,0
466,40,1
467,21,1
468,80,1
469,7,0
470,23,1
471,8,0
472,10,0
473,35,1
474,43,1
475,12,0
476,94,0
477,28,1
478,21,1
479,68,1
480,32,1
481,37,1
482,80,1
483,8,1
484,36,1
485,100,0
486,60,1
487,100,0
488,13,0
489,100,0
490,12,1
491,87,0
492,33,1
493,23,1
494,28,1
495,79,1
496,42,1
497,38,1
498,100,0
499,30,0
500,25,1
501,10,1
502,80,1
503,18,0
504,40,1
505,15,1
506,25,1
507,46,1
508,14,1
509,23,1
510,94,1
511,15,1
512,43,1
513,17,1
514,33,1
515,51,0
516,45,1
517,100,0
518,100,0
519,58,1
520,100,0
521,23,0
522,100,0
523,45,1
524,68,1
525,40,1
526,14,0
527,21,1
528,22,1
529,11,1
530,37,1
531,12,1
532,29,1
533,54,1
534,10,1
535,38,1
536,18,1
537,49,1
538,46,0
539,68,1
540,100,0
541,8,1
542,49,1
543,91,1
544,23,1
545,84,1
546,26,1
547,62,1
548,100,0
