episode,steps,reward
1,21,0
2,11,0
3,21,0
4,10,0
5,16,0
6,108,0
7,36,0
8,34,0
9,10,0
10,34,0
11,11,0
12,84,0
13,10,0
14,26,0
15,13,0
16,6,0
17,58,0
18,55,0
19,12,0
20,11,0
21,25,0
22,15,0
23,14,0
24,20,0
25,28,0
26,7,0
27,33,0
28,52,0
29,15,0
30,7,0
31,35,0
32,12,0
33,56,0
34,23,0
35,21,0
36,19,0
37,9,0
38,32,0
39,33,0
40,98,0
41,7,0
42,17,0
43,54,0
44,28,0
45,16,0
46,16,0
47,31,0
48,22,0
49,45,0
50,132,0
51,8,0
52,58,0
53,39,0
54,17,0
55,16,0
56,53,0
57,34,0
58,22,0
59,39,0
60,20,0
61,30,0
62,11,0
63,24,0
64,28,0
65,50,0
66,5,0
67,16,0
68,56,0
69,15,0
70,18,0
71,41,0
72,47,0
73,31,0
74,22,0
75,14,0
76,50,0
77,30,0
78,11,0
79,11,0
80,27,1
81,90,0
82,35,0
83,41,0
84,59,0
85,200,0
86,16,0
87,200,0
88,162,0
89,77,0
90,200,0
91,144,0
92,189,0
93,102,1
94,149,0
95,150,0
96,157,0
97,71,0
98,77,0
99,43,1
100,110,0
101,97,0
102,39,0
103,43,0
104,200,0
105,200,0
106,200,0
107,167,1
108,151,1
109,106,0
110,50,1
111,200,0
112,200,0
113,58,0
114,200,0
115,200,0
116,63,0
117,66,0
118,165,1
119,49,1
120,62,1
121,95,1
122,200,0
123,97,1
124,118,1
125,200,0
126,200,0
127,200,0
128,200,0
129,94,1
130,165,1
131,200,0
132,113,1
133,163,1
134,41,1
135,63,1
136,80,1
137,171,1
138,170,1
139,59,1
140,160,1
141,50,1
142,91,1
143,59,1
144,200,0
145,200,0
146,200,0
147,166,1
148,36,1
149,85,1
150,200,0
151,114,1
152,58,1
153,173,1
154,36,1
155,122,1
156,92,1
157,48,0
158,129,1
159,90,0
160,92,1
161,106,1
162,200,0
163,200,0
164,76,1
165,108,1
166,200,0
167,60,1
168,128,1
169,200,0
170,156,1
171,200,0
172,193,1
173,53,1
174,200,0
175,94,1
176,84,1
177,82,1
178,97,1
179,86,1
180,66,1
181,122,1
182,134,0
183,200,0
184,79,1
185,89,1
186,119,1
187,189,1
188,30,1
189,55,1
190,169,1
191,141,1
192,200,0
193,143,1
194,69,1
195,127,1
196,200,0
197,200,0
198,200,0
199,200,0
200,100,1
201,89,1
202,200,0
203,80,1
204,200,0
205,18,0
206,200,0
207,124,1
208,200,0
209,137,1
210,200,0
211,200,0
212,111,1
213,144,1
214,76,1
215,200,0
216,96,1
217,200,0
218,52,1
219,144,1
220,90,1
221,54,1
222,59,1
223,200,0
224,88,1
