episode,steps,reward
1,127,0
2,37,0
3,12,0
4,16,0
5,15,0
6,78,0
7,53,0
8,11,0
9,11,0
10,31,0
11,32,0
12,35,0
13,48,0
14,40,0
15,6,0
16,59,0
17,10,0
18,9,0
19,11,0
20,16,0
21,41,0
22,12,0
23,39,0
24,13,0
25,15,0
26,22,0
27,15,0
28,10,0
29,19,0
30,68,0
31,8,0
32,10,0
33,7,0
34,13,0
35,6,0
36,40,0
37,23,0
38,50,0
39,12,0
40,29,0
41,43,0
42,33,0
43,17,0
44,181,0
45,41,0
46,31,0
47,17,0
48,21,0
49,18,0
50,22,0
51,26,0
52,25,0
53,18,0
54,60,0
55,7,0
56,35,0
57,29,0
58,22,0
59,20,0
60,19,0
61,45,0
62,29,0
63,17,0
64,20,0
65,17,0
66,14,0
67,7,0
68,51,0
69,26,0
70,11,0
71,10,0
72,40,0
73,26,0
74,12,0
75,29,0
76,15,0
77,8,0
78,18,0
79,9,0
80,13,0
81,52,0
82,27,0
83,18,0
84,19,0
85,16,0
86,25,0
87,16,0
88,56,0
89,39,0
90,27,0
91,22,0
92,38,0
93,16,0
94,25,0
95,44,0
96,26,0
97,14,0
98,53,0
99,19,0
100,8,0
101,34,0
102,41,0
103,32,0
104,76,0
105,21,0
106,16,0
107,23,0
108,29,0
109,15,0
110,11,0
111,35,0
112,15,0
113,19,0
114,37,0
115,44,0
116,36,0
117,56,0
118,11,0
119,28,0
120,50,0
121,29,0
122,31,0
123,64,0
124,51,0
125,21,0
126,100,0
127,86,0
128,70,0
129,16,0
130,38,1
131,58,0
132,45,0
133,132,0
134,39,0
135,75,0
136,70,0
137,40,1
138,34,0
139,115,0
140,45,0
141,27,0
142,53,0
143,37,0
144,106,0
145,71,0
146,55,1
147,44,0
148,49,0
149,115,0
150,52,1
151,63,0
152,73,0
153,85,0
154,61,0
155,52,0
156,37,0
157,39,0
158,92,0
159,27,0
160,69,0
161,32,0
162,23,0
163,70,0
164,59,0
165,90,0
166,59,1
167,47,0
168,119,1
169,31,0
170,70,1
171,37,0
172,98,0
173,31,0
174,58,0
175,82,0
176,30,1
177,69,0
178,33,0
179,37,1
180,36,0
181,92,0
182,20,0
183,200,0
184,113,0
185,32,0
186,29,0
187,56,0
188,44,0
189,64,0
190,75,0
191,43,0
192,47,0
193,69,0
194,86,0
195,41,0
196,108,0
197,79,0
198,11,0
199,155,0
200,84,0
201,200,0
202,86,0
203,77,0
204,51,0
205,164,0
206,83,0
207,129,0
208,150,0
209,126,0
210,53,0
211,87,0
212,99,0
213,31,0
214,55,0
215,56,0
216,45,0
217,101,0
218,200,0
219,100,0
220,49,0
221,69,0
222,95,0
223,153,0
224,141,0
225,200,0
226,200,0
227,63,0
228,108,0
229,200,0
230,82,0
231,72,0
232,106,0
233,32,0
234,96,0
235,115,0
236,61,0
237,60,0
238,39,0
239,58,0
240,37,0
241,33,0
242,73,0
243,67,0
244,148,0
245,97,0
246,53,0
247,45,0
248,200,0
249,200,0
250,114,0
251,79,0
252,74,0
253,82,0
254,48,0
255,54,0
256,56,0
257,59,0
258,200,0
259,49,0
260,56,0
261,71,0
262,120,0
263,45,0
264,51,0
265,47,0
266,38,0
267,110,0
268,21,0
269,200,0
270,77,0
271,62,0
272,113,0
273,83,0
274,58,0
275,126,0
276,128,0
277,96,0
278,54,0
279,126,0
280,114,0
281,99,1
282,200,0
283,75,0
284,118,0
285,52,0
286,200,0
287,37,0
288,200,0
289,200,0
290,145,0
291,53,0
292,122,0
293,62,0
294,124,0
295,137,0
296,118,0
297,152,0
298,200,0
299,200,0
300,131,0
301,63,0
302,116,0
303,200,0
304,40,0
305,47,0
306,200,0
307,138,0
308,63,0
309,110,0
310,101,0
311,200,0
312,37,0
313,184,0
314,179,0
315,149,0
316,200,0
317,63,0
318,141,0
319,116,0
320,170,0
321,175,0
322,81,0
323,59,0
324,147,1
325,20,0
326,104,0
327,144,0
328,177,0
329,75,0
330,115,0
331,112,0
332,85,0
333,127,0
334,111,0
335,110,0
336,50,1
337,149,0
338,75,0
339,199,0
340,197,0
341,84,0
342,122,0
343,200,0
344,63,1
345,53,0
346,115,0
347,129,0
348,64,0
349,102,0
350,87,0
351,145,0
352,104,0
353,80,0
354,54,0
355,200,0
356,139,0
357,200,0
358,87,0
359,200,0
360,77,0
361,89,0
362,190,0
363,94,0
364,66,0
365,53,1
366,200,0
367,118,0
368,162,0
369,94,1
370,200,0
371,200,0
372,200,0
373,135,0
374,164,0
375,166,0
376,31,0
377,127,0
378,68,0
379,47,0
380,200,0
381,60,0
382,97,0
383,89,0
384,145,0
385,200,0
386,78,0
387,79,0
388,89,0
389,168,0
390,75,0
391,68,0
392,50,0
393,110,1
394,100,0
395,143,0
396,75,0
397,100,0
398,160,1
399,200,0
400,133,0
401,77,0
402,142,0
403,65,0
404,200,0
405,126,0
406,25,0
407,89,0
408,156,0
409,191,0
410,119,0
411,59,0
412,70,0
413,124,0
414,200,0
415,72,0
416,99,0
417,187,0
418,96,1
419,43,0
420,97,0
421,66,0
422,200,0
423,158,0
424,68,0
425,48,0
426,138,0
427,192,0
428,77,0
429,60,0
430,125,0
431,106,1
432,134,0
433,87,0
434,62,0
435,52,0
436,47,0
437,64,0
438,49,0
439,71,0
440,71,0
441,64,0
442,99,0
443,200,0
444,200,0
445,200,0
446,200,0
447,200,0
448,200,0
449,56,1
450,65,1
451,160,1
452,200,1
453,39,1
454,124,1
455,37,1
456,70,1
457,108,1
458,161,1
459,124,1
460,73,1
461,88,1
462,116,1
463,45,1
464,177,1
465,54,1
466,142,1
467,200,0
468,68,1
469,95,1
470,99,1
471,140,1
472,65,1
473,52,1
474,200,0
475,140,1
476,200,0
477,43,1
478,200,0
479,34,1
480,125,1
481,79,1
482,141,1
483,124,1
484,183,1
485,30,1
486,147,1
487,43,1
488,45,1
489,169,1
490,185,1
491,51,1
492,99,1
493,75,1
494,177,1
495,137,1
496,85,1
497,200,0
498,56,1
499,142,1
500,100,1
501,200,0
502,62,1
503,100,1
504,200,0
505,128,1
506,73,1
507,192,1
508,48,1
509,171,1
510,50,1
511,129,1
512,47,1
513,200,0
514,200,0
515,52,1
516,200,0
517,88,1
518,200,0
519,84,1
520,56,1
521,68,1
522,89,1
523,60,1
524,161,1
525,114,1
526,44,1
527,200,0
528,200,0
529,85,1
530,154,1
531,137,1
532,81,1
533,193,1
534,56,1
535,28,1
536,76,1
537,34,1
538,200,0
539,93,1
540,138,1
541,93,1
542,116,1
543,124,1
544,158,1
545,45,1
546,95,1
547,124,1
548,30,1
549,74,1
550,118,1
551,130,1
552,169,1
553,200,0
554,36,1
555,78,1
556,99,1
557,142,1
558,52,1
559,116,1
560,65,1
561,64,1
562,200,0
563,140,1
564,136,1
565,76,1
566,156,1
567,57,1
568,142,1
569,101,1
570,200,0
571,94,1
572,179,1
573,111,1
574,80,1
575,33,1
576,200,0
577,124,1
578,88,1
579,157,1
580,53,1
581,129,1
582,127,1
583,185,1
584,62,1
585,50,1
586,123,1
587,89,1
588,200,0
589,84,1
590,57,1
591,35,1
592,107,1
593,109,1
594,108,1
595,70,1
596,100,1
597,104,1
598,42,1
599,200,0
600,68,1
601,28,0
602,61,1
603,29,1
604,111,1
605,57,1
606,55,1
607,168,1
608,125,1
609,72,1
610,46,1
611,93,1
612,111,1
613,107,1
614,87,1
615,105,1
616,83,1
617,111,1
618,129,1
619,122,1
620,106,1
621,91,1
622,87,1
623,116,1
624,99,1
625,59,1
626,83,1
627,102,1
628,44,1
629,97,1
630,183,1
631,130,1
632,109,1
633,104,1
634,88,1
635,31,1
636,64,1
637,90,1
638,56,1
639,49,1
640,40,1
641,200,0
642,32,0
643,200,0
644,75,1
645,106,1
646,41,1
647,45,1
648,87,1
649,69,0
650,45,1
651,177,1
652,86,1
653,138,1
654,69,1
655,64,1
656,68,1
657,89,1
658,119,1
659,115,1
660,132,1
661,48,1
662,43,1
663,193,1
664,86,1
665,70,1
666,132,1
667,104,1
668,98,1
669,117,1
670,65,1
671,53,1
672,79,1
673,50,1
674,52,1
675,57,1
676,102,1
677,85,1
678,102,1
679,138,1
680,182,1
681,139,1
682,124,1
683,92,1
684,51,1
685,107,1
686,147,1
687,54,1
688,51,1
689,94,1
690,114,1
691,79,1
692,73,1
693,61,1
694,120,1
695,155,1
696,182,1
697,33,1
698,148,1
699,117,1
700,171,1
701,89,1
702,27,1
703,60,1
704,46,1
705,54,1
706,142,1
707,62,1
708,85,1
709,49,1
710,184,1
711,67,1
712,68,1
713,128,1
714,122,1
715,89,1
716,125,1
717,38,1
718,108,1
719,83,1
720,60,1
721,94,1
722,120,1
723,111,1
724,81,1
725,76,1
726,49,1
727,57,1
728,121,1
729,30,0
730,77,1
731,61,1
732,100,1
733,189,1
734,152,1
735,200,0
736,86,1
737,200,0
738,62,1
739,49,1
740,58,1
741,52,1
742,56,1
743,145,1
744,76,1
745,107,1
746,97,1
747,59,1
748,110,1
749,62,1
750,200,0
751,99,1
