episode,steps,reward
0,7,0
1,31,0
2,6,0
3,2,0
4,3,0
5,16,0
6,2,0
7,7,0
8,7,0
9,10,0
10,3,0
11,5,0
12,6,0
13,7,0
14,2,0
15,12,0
16,6,0
17,13,0
18,11,0
19,3,0
20,4,0
21,11,0
22,16,0
23,21,0
24,8,0
25,4,0
26,2,0
27,6,0
28,3,0
29,10,0
30,3,0
31,2,0
32,5,0
33,6,0
34,6,0
35,2,0
36,6,0
37,15,0
38,15,0
39,2,0
40,4,0
41,4,0
42,8,0
43,3,0
44,10,0
45,2,0
46,6,0
47,2,0
48,6,0
49,4,0
50,12,0
51,4,0
52,8,0
53,6,0
54,3,0
55,8,0
56,6,0
57,5,0
58,2,0
59,6,0
60,18,0
61,7,0
62,10,1
63,26,0
64,40,1
65,12,0
66,80,0
67,37,0
68,50,0
69,100,0
70,32,1
71,31,1
72,28,0
73,100,0
74,26,0
75,100,0
76,44,0
77,100,0
78,14,0
79,11,0
80,25,0
81,100,0
82,50,0
83,55,1
84,22,1
85,81,0
86,10,0
87,100,0
88,11,0
89,100,0
90,33,1
91,92,0
92,92,0
93,85,0
94,82,0
95,33,0
96,8,0
97,5,0
98,14,1
99,33,0
100,46,0
101,22,1
102,32,0
103,100,0
104,54,0
105,13,0
106,25,1
107,52,0
108,11,0
109,100,0
110,100,0
111,81,0
112,16,1
113,13,1
114,68,1
115,52,0
116,24,0
117,64,1
118,37,1
119,29,1
120,18,0
121,16,1
122,100,0
123,100,0
124,38,1
125,12,1
126,73,1
127,46,0
128,86,1
129,46,1
130,53,0
131,18,1
132,80,1
133,28,0
134,15,1
135,63,1
136,36,1
137,8,1
138,100,0
139,10,1
140,6,1
141,46,0
142,26,1
143,52,0
144,100,0
145,22,1
146,35,1
147,80,1
148,18,1
149,41,1
150,23,1
151,9,0
152,18,1
153,10,0
154,19,1
155,87,1
156,100,0
157,20,1
158,17,1
159,73,1
160,38,1
161,42,0
162,48,1
163,37,1
164,21,0
165,42,0
166,73,1
167,19,1
168,54,1
169,100,0
170,47,1
171,76,1
172,46,1
173,7,0
174,34,1
175,16,0
176,32,1
177,26,1
178,89,1
179,31,1
180,45,1
181,100,0
182,49,1
183,26,1
184,12,1
185,100,0
186,22,1
187,100,0
188,100,0
189,24,0
190,61,1
191,50,1
192,21,1
193,23,1
194,100,0
195,40,1
196,47,1
197,40,0
198,60,1
199,21,1
200,38,1
201,49,1
202,100,0
203,64,1
204,23,0
205,62,1
206,13,1
207,37,0
208,68,1
209,55,1
210,16,1
211,16,1
212,16,1
213,95,0
214,9,0
215,100,0
216,25,0
217,77,1
218,44,1
219,18,0
220,92,0
221,33,1
222,36,1
223,96,1
224,59,1
225,82,1
226,31,1
227,36,1
228,15,0
229,27,1
230,10,0
231,24,1
232,11,0
233,34,1
234,100,0
235,43,1
236,11,1
237,63,1
238,100,0
239,19,1
240,100,0
241,100,0
242,27,1
243,44,1
244,60,1
245,24,1
246,13,0
247,100,0
248,54,1
