episode,steps,reward
0,12,0
1,5,0
2,2,0
3,6,0
4,11,0
5,5,0
6,4,0
7,3,0
8,25,0
9,13,0
10,7,0
11,7,0
12,17,0
13,5,0
14,3,0
15,10,0
16,11,0
17,8,0
18,20,1
19,4,0
20,22,0
21,11,0
22,9,0
23,14,0
24,30,0
25,7,0
26,21,0
27,23,0
28,10,0
29,9,0
30,17,0
31,45,0
32,15,0
33,30,1
34,15,1
35,57,0
36,8,1
37,17,0
38,84,0
39,24,0
40,25,0
41,29,0
42,39,1
43,28,0
44,100,1
45,45,1
46,100,0
47,35,0
48,26,1
49,11,0
50,32,1
51,100,0
52,39,1
53,80,0
54,43,1
55,21,1
56,100,0
57,42,0
58,100,0
59,41,1
60,23,1
61,18,1
62,69,1
63,20,0
64,18,0
65,29,0
66,100,0
67,18,1
68,18,0
69,44,1
70,11,0
71,11,1
72,12,1
73,56,1
74,81,1
75,100,0
76,8,1
77,86,1
78,100,0
79,7,0
80,16,1
81,42,1
82,19,1
83,49,1
84,64,0
85,67,1
86,12,0
87,12,1
88,22,0
89,100,0
90,46,1
91,100,0
92,100,0
93,100,0
94,97,1
95,8,1
96,35,0
97,17,0
98,15,1
99,26,1
100,100,0
101,87,1
102,100,0
103,74,1
104,13,1
105,6,0
106,43,1
107,100,0
108,11,1
109,10,1
110,9,1
111,23,0
112,25,0
113,16,0
114,22,1
115,17,1
116,21,1
117,84,0
118,51,1
119,23,1
120,40,0
121,38,1
122,32,1
123,69,1
124,32,1
125,19,0
126,55,1
127,67,0
128,29,1
129,52,0
130,76,0
131,39,0
132,42,1
133,70,1
134,10,1
135,18,1
136,14,1
137,66,1
138,19,0
139,14,1
140,100,0
141,29,1
142,35,1
143,21,0
144,28,0
145,14,1
146,64,1
147,34,1
148,45,0
149,36,1
150,55,1
151,98,1
152,42,1
153,16,1
154,56,0
155,12,0
156,13,0
157,85,1
158,82,1
159,98,1
160,25,0
161,100,0
162,38,1
163,22,1
164,23,1
165,8,1
166,17,1
167,24,1
168,84,1
169,16,0
170,71,0
171,31,1
172,13,0
173,50,0
174,10,1
175,22,0
176,53,1
177,51,1
178,66,0
179,46,1
180,89,1
181,100,0
182,78,0
183,20,1
184,38,0
185,80,1
186,92,1
187,91,1
188,100,0
189,25,1
190,37,1
191,71,0
192,21,1
193,12,1
194,100,0
195,15,1
196,53,1
197,57,1
198,51,1
199,34,1
200,36,0
201,22,0
202,56,1
203,51,1
204,41,1
205,10,1
206,72,1
207,9,0
208,8,1
209,44,1
210,52,0
211,24,0
212,68,1
213,38,0
214,31,1
215,18,0
216,13,1
217,100,0
218,81,1
219,56,1
