episode,steps,reward
0,9,0
1,2,0
2,2,0
3,6,0
4,2,0
5,5,0
6,4,0
7,9,0
8,13,1
9,8,1
10,7,0
11,10,0
12,15,1
13,78,0
14,13,1
15,4,0
16,32,0
17,11,0
18,4,0
19,12,0
20,4,0
21,15,1
22,21,0
23,4,0
24,29,0
25,63,0
26,25,0
27,17,1
28,22,0
29,19,1
30,65,1
31,6,0
32,44,0
33,6,0
34,42,1
35,23,0
36,11,1
37,39,1
38,33,1
39,13,0
40,48,1
41,4,0
42,16,1
43,6,1
44,31,1
45,26,0
46,27,1
47,29,0
48,100,0
49,9,1
50,25,1
51,39,0
52,42,0
53,62,0
54,100,0
55,23,1
56,18,1
57,69,1
58,20,0
59,16,0
60,22,1
61,12,0
62,17,1
63,23,0
64,36,0
65,47,0
66,22,0
67,91,0
68,6,0
69,81,1
70,22,0
71,8,0
72,86,1
73,58,1
74,68,1
75,21,1
76,44,1
77,9,1
78,100,0
79,71,0
80,70,0
81,38,0
82,49,0
83,11,0
84,61,0
85,46,1
86,16,0
87,40,0
88,77,1
89,19,0
90,8,1
91,35,0
92,10,1
93,15,1
94,26,1
95,46,1
96,87,1
97,100,0
98,16,1
99,13,1
100,6,0
101,43,1
102,63,0
103,60,1
104,10,1
105,9,1
106,24,0
107,25,0
108,16,0
109,36,1
110,17,1
111,21,1
112,37,0
113,48,0
114,76,1
115,7,1
116,38,1
117,91,1
118,69,1
119,32,1
120,51,1
121,55,1
122,33,1
123,29,1
124,100,0
125,45,1
126,11,0
127,27,0
128,52,1
129,10,1
130,18,1
131,14,1
132,66,1
133,19,0
134,28,1
135,37,1
136,100,0
137,35,1
138,21,0
139,28,0
140,100,0
141,64,1
142,100,0
143,58,0
144,36,1
145,49,0
146,98,1
147,43,1
148,19,1
149,29,0
150,12,0
151,13,0
152,85,0
153,2,0
154,16,1
155,13,0
156,55,1
157,38,1
158,22,1
159,23,1
160,64,1
161,17,1
162,24,1
163,84,1
164,30,1
165,71,0
166,100,0
167,13,0
168,88,1
169,10,1
170,22,0
171,26,1
172,51,1
173,84,1
174,15,1
175,89,1
176,58,0
177,12,1
178,39,1
179,38,0
180,80,1
181,92,1
182,91,1
183,15,1
184,25,1
185,37,1
186,71,0
187,8,1
188,12,1
189,71,1
190,15,0
191,35,1
192,57,0
193,51,1
194,13,1
195,14,1
196,22,0
197,56,1
198,23,0
199,41,1
