episode,steps,reward
0,25,0
1,9,0
2,3,0
3,4,0
4,7,0
5,3,0
6,7,0
7,3,0
8,8,0
9,6,0
10,8,0
11,2,0
12,9,0
13,12,0
14,7,0
15,6,0
16,2,0
17,3,0
18,19,1
19,34,0
20,7,0
21,13,0
22,8,0
23,11,0
24,6,0
25,10,1
26,61,0
27,8,0
28,12,0
29,34,0
30,43,0
31,11,1
32,34,1
33,30,0
34,7,0
35,9,0
36,15,0
37,12,1
38,12,0
39,10,0
40,29,0
41,17,1
42,4,0
43,12,1
44,24,0
45,60,1
46,3,0
47,4,0
48,63,0
49,5,0
50,32,0
51,6,0
52,3,0
53,20,1
54,41,0
55,3,0
56,11,0
57,33,1
58,12,1
59,13,0
60,51,1
61,11,0
62,10,1
63,84,1
64,7,0
65,29,1
66,22,0
67,36,0
68,24,1
69,2,0
70,25,1
71,44,0
72,18,1
73,60,0
74,6,0
75,18,1
76,18,1
77,38,0
78,10,1
79,11,0
80,41,1
81,45,1
82,39,1
83,49,0
84,18,1
85,33,0
86,12,0
87,46,1
88,44,0
89,4,0
90,19,0
91,3,0
92,22,0
93,9,1
94,4,0
95,36,0
96,3,0
97,30,1
98,4,0
99,43,1
100,32,1
101,31,0
102,35,1
103,4,0
104,22,0
105,57,1
106,2,0
107,42,1
108,83,1
109,23,1
110,9,0
111,15,0
112,45,1
113,6,0
114,4,0
115,12,1
116,43,1
117,19,1
118,4,0
119,42,0
120,88,1
121,13,0
122,10,1
123,10,1
124,52,1
125,11,0
126,26,0
127,15,0
128,27,1
129,9,0
130,24,1
131,20,1
132,13,1
133,9,0
134,14,0
135,48,1
136,45,1
137,42,0
138,22,0
139,18,1
140,3,0
141,26,1
142,6,0
143,6,1
144,29,1
145,22,0
146,12,1
147,48,0
148,100,0
149,22,0
150,58,1
151,11,1
152,4,0
153,99,1
154,7,0
155,6,0
156,37,0
157,7,0
158,67,1
159,15,0
160,9,0
161,6,0
162,26,0
163,19,0
164,44,1
165,5,0
166,24,0
167,30,1
168,24,1
169,89,1
170,56,1
171,60,0
172,25,0
173,2,0
174,9,1
175,63,1
176,32,0
177,26,0
178,25,0
179,49,0
180,48,1
181,33,0
182,41,1
183,41,0
184,4,0
185,33,1
186,27,1
187,37,1
188,3,0
189,38,0
190,12,1
191,34,0
192,75,0
193,36,0
194,26,0
195,48,0
196,34,1
197,8,1
198,24,1
199,36,0
200,23,1
201,2,0
202,4,0
203,15,1
204,4,0
205,18,0
206,36,0
207,30,1
208,22,0
209,8,0
210,94,0
211,18,1
212,4,0
213,25,0
214,25,0
215,3,0
216,5,0
217,2,0
218,25,1
219,24,1
220,26,1
221,12,0
222,6,0
223,9,0
224,37,0
225,6,0
226,3,0
227,67,0
228,22,0
229,10,1
230,11,0
231,16,1
232,41,1
233,41,1
234,18,0
235,38,1
236,2,0
237,80,0
238,14,1
239,25,0
240,12,0
241,16,1
242,21,1
243,47,0
244,75,0
245,2,0
246,26,1
247,14,1
248,20,0
249,20,1
250,100,0
251,29,0
252,2,0
253,34,0
254,18,0
255,35,1
256,19,0
257,100,0
258,19,0
259,17,0
260,3,0
261,5,0
262,35,1
263,48,1
264,17,1
265,41,1
266,16,0
267,14,0
268,18,0
269,6,0
270,3,0
271,4,0
272,14,1
273,4,0
274,22,1
275,15,0
276,7,0
277,4,0
278,16,1
279,89,1
280,29,0
281,18,1
282,20,1
283,49,0
284,10,1
285,80,1
286,100,0
287,24,0
288,30,0
289,31,1
290,5,0
291,46,0
292,38,1
293,22,0
294,2,0
295,100,0
296,5,0
297,4,0
298,3,0
299,19,0
300,6,1
301,14,0
302,8,0
303,7,0
304,22,1
305,67,0
306,9,0
307,26,0
308,21,1
309,58,1
310,32,1
311,23,0
312,22,1
313,23,1
314,9,1
315,22,1
316,45,1
317,14,1
318,55,1
319,8,0
320,33,1
321,10,0
322,13,0
323,27,1
324,33,0
325,43,0
326,15,1
327,41,0
328,12,1
329,40,1
330,33,0
331,27,1
332,27,0
333,26,1
334,100,0
335,35,1
336,15,1
337,27,1
338,43,0
339,27,1
340,76,1
341,25,1
342,100,0
343,82,1
344,24,1
345,17,1
346,19,1
347,30,1
348,25,1
349,11,1
350,100,0
351,55,1
352,11,1
353,30,1
354,6,0
355,5,0
356,81,0
357,48,0
358,31,0
359,8,0
360,21,0
361,96,0
362,5,0
363,16,0
364,19,0
365,16,1
366,6,0
367,5,0
368,20,0
369,18,0
370,4,0
371,7,0
372,23,1
373,8,0
374,10,0
375,35,1
376,43,1
377,12,0
378,94,0
379,2,0
380,8,0
381,36,0
382,11,1
383,4,0
384,18,0
385,8,1
386,36,1
387,100,0
388,60,1
389,30,1
390,21,0
391,24,1
392,30,0
393,87,0
394,33,1
395,12,1
396,18,0
397,16,0
398,42,1
399,38,1
400,97,0
401,28,0
402,2,0
403,10,1
404,23,0
405,18,0
406,40,1
407,15,1
408,25,1
409,46,1
410,14,1
411,21,0
412,94,1
413,97,1
414,49,1
415,16,1
416,43,0
417,47,0
418,9,1
419,20,0
420,41,1
421,27,0
422,5,0
423,4,0
424,8,0
425,54,1
426,83,1
427,40,1
428,14,0
429,16,0
430,22,1
431,11,1
432,37,1
433,49,1
434,29,1
435,53,0
436,10,1
437,38,1
438,18,1
439,49,1
440,46,0
441,68,1
442,70,0
443,8,1
444,49,1
445,100,0
446,11,0
447,37,0
448,2,0
449,37,1
450,91,0
451,9,0
452,54,1
453,53,1
454,9,0
455,79,1
456,26,1
457,7,0
458,40,0
459,12,1
460,16,1
461,30,1
462,29,1
463,44,1
464,18,0
465,11,1
466,21,1
467,49,1
468,18,0
469,34,1
470,28,1
471,37,1
472,11,0
473,28,1
474,30,1
475,44,1
476,15,1
477,31,1
478,35,1
479,16,1
480,4,0
481,34,1
482,20,1
483,33,1
484,19,1
485,31,0
486,59,1
