episode,steps,reward
0,3,0
1,20,0
2,5,0
3,7,0
4,15,0
5,4,0
6,7,0
7,6,0
8,2,0
9,7,0
10,3,0
11,8,0
12,5,0
13,2,0
14,2,0
15,14,0
16,5,0
17,13,0
18,2,0
19,3,0
20,10,0
21,3,0
22,8,0
23,5,0
24,2,0
25,9,0
26,3,0
27,5,0
28,12,0
29,6,0
30,15,0
31,11,0
32,8,0
33,7,0
34,8,0
35,11,0
36,9,0
37,12,0
38,2,0
39,4,0
40,24,1
41,10,0
42,29,0
43,26,0
44,11,0
45,10,0
46,13,0
47,42,0
48,11,0
49,11,0
50,20,0
51,21,0
52,7,0
53,36,0
54,43,1
55,37,0
56,27,0
57,12,0
58,14,0
59,12,0
60,5,0
61,7,0
62,19,0
63,3,0
64,7,0
65,5,0
66,2,0
67,19,0
68,9,1
69,2,0
70,9,0
71,21,0
72,3,0
73,51,1
74,17,1
75,18,1
76,14,1
77,19,0
78,26,1
79,100,0
80,38,0
81,34,0
82,34,1
83,53,0
84,83,0
85,9,0
86,2,0
87,8,0
88,27,0
89,6,0
90,2,0
91,33,1
92,24,1
93,31,1
94,31,0
95,16,0
96,49,0
97,74,1
98,21,0
99,35,1
100,2,0
101,28,1
102,31,0
103,5,0
104,13,1
105,23,1
106,18,0
107,16,0
108,28,1
109,25,1
110,50,1
111,29,1
112,31,0
113,34,0
114,66,1
115,11,0
116,51,1
117,19,0
118,36,1
119,59,0
120,100,0
121,8,1
122,13,0
123,16,0
124,99,1
125,13,0
126,26,1
127,32,0
128,65,0
129,33,0
130,8,0
131,17,0
132,27,0
133,11,0
134,17,1
135,14,0
136,19,0
137,22,1
138,16,0
139,18,0
140,80,0
141,6,0
142,15,0
143,2,0
144,2,0
145,68,0
146,4,0
147,10,0
148,10,0
149,32,1
150,12,1
151,59,0
152,22,0
153,36,0
154,49,0
155,8,0
156,35,0
157,21,0
158,24,0
159,2,0
160,34,0
161,2,0
162,15,1
163,24,1
164,67,1
165,12,0
166,19,0
167,38,0
168,64,0
169,23,0
170,4,0
171,7,0
172,2,0
173,12,0
174,13,0
175,9,0
176,28,0
177,23,0
178,69,0
179,5,0
180,8,0
181,12,0
182,11,0
183,23,1
184,4,0
185,23,0
186,19,0
187,73,0
188,5,0
189,42,0
190,4,0
191,3,0
192,22,0
193,3,0
194,9,0
195,4,0
196,4,0
197,5,0
198,9,1
199,6,0
200,25,1
201,31,0
202,49,1
203,50,0
204,15,1
205,12,0
206,80,0
207,41,0
208,23,0
209,60,0
210,5,0
211,26,0
212,2,0
213,14,0
214,38,0
215,29,0
216,11,0
217,14,0
218,25,0
219,61,1
220,72,1
221,14,0
222,8,0
223,27,0
224,11,0
225,4,0
226,29,0
227,9,0
228,14,1
229,20,0
230,32,1
231,50,0
232,18,1
233,20,0
234,29,0
235,86,1
236,51,0
237,9,1
238,40,0
239,55,0
240,47,1
241,7,0
242,7,1
243,67,0
244,19,0
245,18,1
246,42,1
247,15,0
248,53,0
249,100,0
250,5,0
251,72,0
252,79,0
253,2,0
254,44,0
255,2,0
256,8,1
257,3,0
258,58,0
259,4,0
260,25,0
261,6,0
262,39,0
263,17,0
264,3,0
265,37,0
266,10,1
267,3,0
268,6,0
269,3,0
270,2,0
271,8,0
272,21,1
273,17,1
274,49,0
275,15,0
276,14,0
277,23,1
278,83,1
279,39,1
280,41,1
281,20,0
282,15,0
283,17,1
284,41,1
285,9,0
286,86,1
287,100,0
288,47,0
289,24,0
290,9,0
291,9,0
292,6,0
293,23,0
294,16,1
295,42,1
296,4,0
297,14,1
298,9,0
299,25,1
300,4,0
301,53,0
302,46,1
303,73,0
304,14,0
305,16,1
306,41,0
307,24,1
308,48,0
309,62,0
310,11,1
311,12,0
312,17,1
313,17,1
314,44,1
315,36,1
316,22,0
317,80,0
318,12,0
319,28,1
320,43,1
321,30,0
322,80,0
323,17,1
324,48,1
325,27,0
326,51,1
327,52,1
328,36,0
329,14,0
330,21,0
331,38,1
332,42,0
333,16,0
334,18,0
335,10,0
336,17,1
337,12,0
338,16,0
339,40,0
340,22,1
341,7,0
342,31,0
343,48,1
344,100,0
345,35,1
346,31,0
347,84,1
348,12,0
349,62,0
350,10,0
351,14,0
352,42,1
353,32,1
354,25,0
355,29,1
356,10,1
357,15,0
358,12,0
359,23,0
360,15,1
361,15,1
362,46,0
363,57,0
364,79,0
365,30,0
366,50,1
367,44,0
368,25,0
369,5,0
370,17,1
371,22,0
372,100,0
373,5,0
374,2,0
375,13,0
376,6,0
377,3,0
378,32,1
379,56,0
380,25,0
381,46,1
382,32,1
383,42,1
384,21,0
385,19,1
386,37,0
387,27,0
388,32,1
389,26,1
390,15,1
391,31,0
392,33,0
393,20,0
394,9,1
395,61,1
396,37,0
397,41,0
398,67,1
399,34,0
400,56,0
401,97,1
402,56,1
403,54,1
404,69,0
405,29,1
406,29,1
407,24,0
408,16,1
409,34,0
410,69,1
411,27,0
412,26,1
413,8,1
414,100,0
415,4,0
416,65,0
417,31,1
418,44,1
419,74,1
420,46,1
421,13,0
422,100,0
423,31,1
424,82,1
425,10,1
426,100,0
427,11,1
428,57,1
429,10,1
430,21,1
431,6,0
432,15,0
433,43,1
434,25,1
435,9,0
436,17,0
437,58,0
438,55,1
439,79,0
440,87,1
441,23,1
442,19,1
443,23,1
444,45,0
445,75,0
446,100,0
447,24,0
448,63,1
449,39,0
450,53,1
451,33,0
452,6,0
453,32,0
454,36,1
455,39,1
456,29,1
457,27,0
458,27,1
459,64,1
460,19,0
461,47,0
462,35,1
463,81,1
464,83,1
465,16,0
466,39,0
467,30,0
468,15,0
469,13,0
470,17,0
471,22,1
472,25,0
473,21,1
474,16,0
475,15,0
476,36,1
477,11,0
478,34,1
479,16,0
480,33,0
481,60,0
482,36,0
483,19,1
484,34,1
485,40,0
486,11,0
487,24,1
488,14,0
489,85,0
490,26,1
491,26,1
492,9,0
493,42,1
494,6,0
495,48,1
496,45,1
497,26,1
498,38,1
499,46,0
500,100,0
501,40,1
502,35,1
503,15,0
504,36,1
505,5,0
506,24,0
507,13,1
508,25,0
509,34,0
510,55,0
511,25,1
512,61,1
513,47,1
514,12,1
515,45,1
516,64,1
517,49,1
518,12,1
519,63,0
520,11,0
521,28,1
522,34,0
523,15,0
524,43,0
525,79,0
526,16,1
527,25,0
528,84,0
529,7,0
530,25,1
531,65,1
532,43,1
533,70,1
534,22,1
535,30,0
536,8,1
537,29,0
538,6,0
539,87,1
540,10,0
541,18,0
542,29,0
543,65,0
544,14,1
545,51,1
546,39,0
547,61,0
548,16,1
549,12,1
550,45,1
551,13,1
552,9,1
553,22,1
554,40,1
555,23,1
556,11,0
557,29,1
558,77,1
559,36,1
560,8,0
561,27,0
562,11,1
563,62,1
564,36,1
565,17,0
566,100,0
567,73,0
568,43,0
569,51,1
570,53,0
571,12,1
572,21,1
573,18,1
574,38,1
575,73,1
576,42,0
577,88,0
578,23,1
579,41,0
580,8,0
581,64,0
582,100,0
583,24,0
584,44,0
585,23,1
586,31,1
587,28,1
588,38,1
589,22,0
590,100,0
591,14,1
592,48,1
593,20,0
594,55,1
595,28,0
596,25,0
597,23,0
598,49,0
599,64,0
600,57,1
601,100,0
602,34,1
603,3,0
604,14,1
605,2,0
606,64,1
607,99,0
608,28,1
609,42,0
610,17,0
611,100,0
612,22,0
613,45,0
614,18,1
615,100,0
616,32,1
617,33,1
618,39,0
619,22,0
620,42,0
621,21,1
622,32,0
623,24,1
624,37,1
625,97,1
626,45,0
627,12,1
628,2,0
629,37,0
630,17,1
631,67,1
632,53,1
633,9,1
634,90,1
635,14,0
636,46,1
637,72,1
638,21,0
639,15,1
640,43,0
641,9,0
642,8,0
643,12,0
644,44,1
645,39,0
646,38,0
647,85,1
648,77,1
649,23,1
650,41,1
651,16,1
652,42,1
653,30,0
654,11,0
655,15,0
656,18,0
657,24,0
658,28,0
659,100,0
660,24,0
661,65,1
662,72,1
663,24,1
664,9,0
665,51,0
666,11,1
667,14,1
668,8,0
669,9,0
670,21,0
671,23,1
672,21,1
673,31,1
674,53,0
675,23,0
676,19,1
677,100,0
678,28,1
679,18,0
680,50,0
681,8,0
682,72,1
683,7,0
684,48,1
685,68,1
686,20,1
687,6,0
688,18,1
689,94,1
690,16,1
691,7,0
692,27,1
693,60,0
694,31,0
695,9,0
696,33,0
697,32,0
698,21,1
699,17,1
700,39,0
701,20,0
702,27,1
703,38,1
704,13,0
705,23,1
706,39,0
707,82,1
708,53,0
709,30,1
710,7,0
711,17,0
712,26,0
713,50,0
714,13,1
715,38,0
716,20,0
717,12,0
718,61,1
719,100,0
720,54,0
721,45,0
722,100,0
723,76,0
724,7,0
725,25,1
726,14,1
727,3,0
728,2,0
729,35,0
730,36,0
731,67,0
732,35,1
733,16,1
734,19,1
735,32,1
736,34,1
737,25,0
738,5,0
739,100,0
740,6,1
741,93,1
742,24,0
743,78,0
744,42,1
745,31,1
746,20,1
747,11,1
748,100,0
749,44,0
750,18,1
751,77,1
752,100,0
753,22,0
754,46,0
755,87,0
756,15,0
757,66,1
758,3,0
759,7,0
760,17,0
761,60,1
762,69,0
763,38,0
764,69,0
765,59,1
766,24,1
767,53,1
768,100,0
769,19,0
770,13,0
771,100,1
772,13,1
773,100,0
774,39,1
775,57,1
776,79,0
777,100,0
778,32,1
779,32,0
780,80,0
781,22,0
782,11,0
783,3,0
784,2,0
785,21,1
786,100,0
787,24,1
788,100,0
789,24,1
790,36,1
791,40,0
792,56,0
793,57,0
794,38,0
795,22,0
796,32,0
797,12,0
798,11,0
799,10,1
800,25,0
801,2,0
802,16,1
803,10,0
804,29,1
805,8,1
806,3,0
807,14,1
808,8,0
809,10,0
810,100,0
811,56,1
812,23,1
813,56,0
814,35,1
815,91,1
816,30,1
817,60,1
818,17,0
819,40,1
820,21,1
821,13,0
822,42,1
823,19,0
824,23,1
825,43,0
826,45,1
827,87,1
828,41,0
829,15,1
830,12,0
831,14,0
832,45,0
833,6,0
834,83,0
835,42,0
836,15,0
837,23,0
838,38,0
839,31,0
840,65,0
841,35,0
842,27,0
843,27,1
844,55,1
845,42,1
846,35,1
847,25,0
848,23,1
849,30,0
850,16,0
851,54,0
852,64,1
853,12,1
854,56,0
855,26,1
856,25,1
857,17,0
858,72,0
859,89,0
860,35,0
861,39,1
862,11,1
863,55,0
864,52,0
865,42,1
866,60,1
867,30,1
868,20,1
869,8,1
870,91,0
871,15,0
872,24,0
873,11,1
874,22,1
875,27,0
876,87,0
877,18,0
878,46,1
879,59,0
880,75,1
881,19,1
882,41,0
883,71,0
884,12,1
885,54,1
886,40,1
887,11,1
888,22,1
889,26,0
890,72,0
891,8,0
892,29,1
893,23,1
894,25,0
895,16,0
896,11,1
897,53,0
898,10,1
899,30,1
900,41,1
901,22,1
902,73,0
903,28,0
904,45,1
905,24,1
906,23,1
907,21,1
908,14,1
909,23,1
910,35,1
911,100,0
912,91,1
913,39,1
914,26,1
915,20,1
916,30,0
917,22,0
918,30,1
919,29,1
920,42,0
921,21,0
922,76,0
923,100,0
924,21,0
925,100,0
926,100,0
927,7,1
928,19,1
929,95,0
930,48,1
931,37,1
932,29,1
933,16,0
934,24,1
935,62,1
936,30,0
