episode,steps,reward
0,13,0
1,72,0
2,45,0
3,27,0
4,20,0
5,30,0
6,6,0
7,8,0
8,54,0
9,21,0
10,55,0
11,13,0
12,29,0
13,50,0
14,14,0
15,50,0
16,7,0
17,15,0
18,42,0
19,45,0
20,20,0
21,14,0
22,11,0
23,10,0
24,30,0
25,16,0
26,26,0
27,27,0
28,11,0
29,16,0
30,28,0
31,8,0
32,9,0
33,41,0
34,46,0
35,33,0
36,10,0
37,54,0
38,58,0
39,19,0
40,7,0
41,17,0
42,20,0
43,19,0
44,18,0
45,15,0
46,25,0
47,6,0
48,26,0
49,38,0
50,75,0
51,13,0
52,30,0
53,19,0
54,9,0
55,18,0
56,19,0
57,5,0
58,18,0
59,25,0
60,29,0
61,21,0
62,23,0
63,20,0
64,13,0
65,28,0
66,13,0
67,8,0
68,18,0
69,15,0
70,14,0
71,53,0
72,14,0
73,9,0
74,14,0
75,14,0
76,30,0
77,12,0
78,25,0
79,13,0
80,30,0
81,7,0
82,5,0
83,32,0
84,22,0
85,6,0
86,69,0
87,107,0
88,11,0
89,19,0
90,20,0
91,7,0
92,12,0
93,16,0
94,9,0
95,91,0
96,27,0
97,9,0
98,25,0
99,31,0
100,41,0
101,29,0
102,51,0
103,16,0
104,14,0
105,51,0
106,13,0
107,22,0
108,24,0
109,21,0
110,16,0
111,15,0
112,33,0
113,17,0
114,16,0
115,17,0
116,10,0
117,14,0
118,41,0
119,34,0
120,11,0
121,17,0
122,7,0
123,9,0
124,20,0
125,22,0
126,65,1
127,10,0
128,13,0
129,19,0
130,31,0
131,33,0
132,47,0
133,10,0
134,8,0
135,15,0
136,15,0
137,23,0
138,46,0
139,29,0
140,13,0
141,78,0
142,20,0
143,29,0
144,16,0
145,14,0
146,15,0
147,16,0
148,32,0
149,13,0
150,34,0
151,11,0
152,10,0
153,45,0
154,12,0
155,20,0
156,19,0
157,10,0
158,14,0
159,16,0
160,7,0
161,11,0
162,16,0
163,16,0
164,31,0
165,13,0
166,14,0
167,45,0
168,47,0
169,41,0
170,23,0
171,31,0
172,39,1
173,9,0
174,12,0
175,9,0
176,31,0
177,28,0
178,8,0
179,40,0
180,16,0
181,11,0
182,16,0
183,77,0
184,21,0
185,65,0
186,12,0
187,23,0
188,17,0
189,23,0
190,17,0
191,18,0
192,19,0
193,20,0
194,13,0
195,13,0
196,12,0
197,70,0
198,16,0
199,19,0
200,11,0
201,15,0
202,34,0
203,17,0
204,10,0
205,21,0
206,22,0
207,21,0
208,14,0
209,78,0
210,17,0
211,22,0
212,18,0
213,8,0
214,20,0
215,8,0
216,20,0
217,9,0
218,21,0
219,11,0
220,13,0
221,39,0
222,25,0
223,29,0
224,19,0
225,19,0
226,53,0
227,57,0
228,26,0
229,68,1
230,23,0
231,51,0
232,63,0
233,18,0
234,24,0
235,39,0
236,45,0
237,11,0
238,10,0
239,13,0
240,35,0
241,49,0
242,10,0
243,42,0
244,31,0
245,19,0
246,7,0
247,63,0
248,52,0
249,121,1
250,55,0
251,26,0
252,35,0
253,57,0
254,24,0
255,10,0
256,44,0
257,27,0
258,38,0
259,12,0
260,24,0
261,21,0
262,21,0
263,45,0
264,15,0
265,34,0
266,30,0
267,11,0
268,20,0
269,42,0
270,32,0
271,26,0
272,18,0
273,46,0
274,112,0
275,18,0
276,50,0
277,21,0
278,41,0
279,37,0
280,13,0
281,26,0
282,30,0
283,27,0
284,39,0
285,56,0
286,43,0
287,9,0
288,23,0
289,43,0
290,49,0
291,36,0
292,13,0
293,40,0
294,35,0
295,15,0
296,80,0
297,25,0
298,35,0
299,26,0
300,85,0
301,54,0
302,36,0
303,32,0
304,74,0
305,20,0
306,30,0
307,21,0
308,34,0
309,47,0
310,51,0
311,30,0
312,126,0
313,16,0
314,90,0
315,49,0
316,39,0
317,55,0
318,28,0
319,48,0
320,61,0
321,51,0
322,32,0
323,30,0
324,14,0
325,83,0
326,25,0
327,33,0
328,22,0
329,46,0
330,30,0
331,53,0
332,38,0
333,49,0
334,8,0
335,46,0
336,30,0
337,30,0
338,42,0
339,35,0
340,21,0
341,26,0
342,55,0
343,59,0
344,19,0
345,23,0
346,49,0
347,33,0
348,34,0
349,38,0
350,29,0
351,86,0
352,42,0
353,59,0
354,34,0
355,37,0
356,50,0
357,28,0
358,19,0
359,48,1
360,103,0
361,25,1
362,64,0
363,21,0
364,51,0
365,151,0
366,19,0
367,114,0
368,34,0
369,11,0
370,40,0
371,35,0
372,59,0
373,95,0
374,94,0
375,25,0
376,32,0
377,110,0
378,78,1
379,28,0
380,20,0
381,52,0
382,21,0
383,67,0
384,78,0
385,48,0
386,41,1
387,40,0
388,46,0
389,54,0
390,42,0
391,35,0
392,98,0
393,58,0
394,47,0
395,49,0
396,110,0
397,41,0
398,54,0
399,19,0
400,46,0
401,83,1
402,57,0
403,24,0
404,74,0
405,61,0
406,29,0
407,134,0
408,50,0
409,98,0
410,85,0
411,70,1
412,61,0
413,57,0
414,121,0
415,34,0
416,113,0
417,80,0
418,41,0
419,100,0
420,73,0
421,64,0
422,16,0
423,28,0
424,83,0
425,18,0
426,41,0
427,27,0
428,21,0
429,62,0
430,34,0
431,58,0
432,50,0
433,54,0
434,99,0
435,58,0
436,73,0
437,102,1
438,37,0
439,58,0
440,58,0
441,40,0
442,55,0
443,50,0
444,55,0
445,39,0
446,78,0
447,48,0
448,46,0
449,34,1
450,28,0
451,79,0
452,45,0
453,24,0
454,104,0
455,49,0
456,167,0
457,41,0
458,67,0
459,43,0
460,46,0
461,35,1
462,60,1
463,42,1
464,48,0
465,41,0
466,59,0
467,44,0
468,50,0
469,24,0
470,76,0
471,32,0
472,51,0
473,44,0
474,49,1
475,48,0
476,31,1
477,81,0
478,35,0
479,131,0
480,24,0
481,61,0
482,93,0
483,54,0
484,183,0
485,105,0
486,57,0
487,38,0
488,200,0
489,21,0
490,48,0
491,81,0
492,29,0
493,59,0
494,83,0
495,50,0
496,35,0
497,14,0
498,135,0
499,129,0
500,70,0
501,118,0
502,93,0
503,112,0
504,19,0
505,55,0
506,93,0
507,38,0
508,60,0
509,151,0
510,57,0
511,63,0
512,20,0
513,200,0
514,91,0
515,138,0
516,34,0
517,46,0
518,39,0
519,61,0
520,77,0
521,66,0
522,46,0
523,39,0
524,25,0
525,32,0
526,148,0
527,35,0
528,182,0
529,40,0
530,56,0
531,91,0
532,200,0
533,68,0
534,24,0
535,34,0
536,63,0
537,180,0
538,59,0
539,31,0
540,18,0
541,194,0
542,49,0
543,46,0
544,73,0
545,29,0
546,31,0
547,66,0
548,54,0
549,55,0
550,111,0
551,49,0
552,52,0
553,60,0
554,45,0
555,16,0
556,53,0
557,154,0
558,111,0
559,91,0
560,32,0
561,80,0
562,83,0
563,176,0
564,64,0
565,200,0
566,53,0
567,90,0
568,36,0
569,200,0
570,84,0
571,37,0
572,38,0
573,58,0
574,33,0
575,69,0
576,66,0
577,65,0
578,96,0
579,76,0
580,31,0
581,51,0
582,50,0
583,91,0
584,200,0
585,63,0
586,94,0
587,90,0
588,77,0
589,26,0
590,99,0
591,39,0
592,200,0
593,37,0
594,142,0
595,44,0
596,55,0
597,29,0
598,29,0
599,169,0
600,40,0
601,56,0
602,33,0
603,200,0
604,25,0
605,117,0
606,43,0
607,131,0
608,51,0
609,64,0
610,109,0
611,86,0
612,143,0
613,78,0
614,134,0
615,31,0
616,107,0
617,43,0
618,149,0
619,132,0
620,75,0
621,89,0
622,73,0
623,56,0
624,75,0
625,41,0
626,162,0
627,38,0
628,45,0
629,83,0
630,109,0
631,29,0
632,45,0
633,123,0
634,128,0
635,52,0
636,58,0
637,34,0
638,36,0
639,122,0
640,73,0
641,122,0
642,71,0
643,74,0
644,33,0
645,88,0
646,17,0
647,200,0
648,117,0
649,100,0
650,149,0
651,145,0
652,25,0
653,86,0
654,49,0
655,144,0
656,180,0
657,118,0
658,88,0
659,42,0
660,105,0
661,105,0
662,187,0
663,62,0
664,45,0
665,136,0
666,171,0
667,102,0
668,50,0
669,60,0
670,91,0
671,145,0
672,63,0
673,71,0
674,45,0
675,88,0
676,89,0
677,83,0
678,91,0
679,63,0
680,200,0
681,44,0
682,80,1
683,97,0
684,24,0
685,133,0
686,107,0
687,55,0
688,53,0
689,13,0
690,108,0
691,167,0
692,200,0
693,64,0
694,49,0
695,65,0
696,35,0
697,54,0
698,92,0
699,46,0
700,73,0
701,22,0
702,47,0
703,62,0
704,42,0
705,121,0
706,72,0
