episode,steps,reward
0,3,0
1,4,0
2,9,1
3,14,0
4,6,0
5,13,0
6,8,0
7,3,0
8,11,0
9,14,0
10,25,0
11,2,0
12,2,0
13,2,0
14,8,0
15,5,0
16,15,0
17,5,0
18,3,0
19,13,0
20,9,0
21,4,0
22,7,0
23,19,0
24,9,0
25,25,0
26,3,0
27,10,0
28,20,0
29,11,0
30,5,0
31,5,0
32,4,0
33,4,0
34,20,0
35,2,0
36,9,0
37,19,0
38,4,0
39,9,0
40,8,0
41,6,0
42,10,0
43,2,0
44,9,0
45,13,0
46,11,0
47,7,0
48,2,0
49,2,0
50,3,0
51,23,0
52,4,0
53,6,0
54,3,0
55,15,1
56,5,0
57,9,0
58,10,0
59,6,0
60,16,0
61,16,0
62,3,0
63,10,0
64,2,0
65,7,0
66,13,0
67,9,0
68,7,0
69,5,0
70,6,0
71,4,0
72,23,0
73,3,0
74,6,0
75,5,0
76,4,0
77,4,0
78,2,0
79,6,0
80,11,0
81,16,0
82,10,0
83,6,0
84,6,0
85,6,0
86,3,0
87,7,0
88,4,0
89,2,0
90,32,0
91,2,0
92,30,0
93,5,0
94,12,0
95,6,0
96,7,0
97,3,0
98,5,0
99,3,0
100,7,0
101,2,0
102,5,0
103,23,0
104,4,0
105,5,0
106,7,0
107,6,0
108,8,0
109,6,0
110,8,0
111,15,0
112,2,0
113,11,0
114,15,1
115,4,0
116,9,0
117,62,0
118,17,0
119,8,0
120,20,1
121,24,0
122,2,0
123,12,0
124,13,1
125,25,0
126,6,0
127,2,0
128,2,0
129,22,0
130,5,0
131,9,0
132,5,0
133,20,0
134,6,0
135,19,0
136,9,0
137,3,0
138,23,0
139,5,0
140,12,0
141,2,0
142,8,0
143,9,0
144,3,0
145,2,0
146,7,0
147,3,0
148,9,0
149,2,0
150,8,0
151,16,0
152,14,0
153,6,0
154,2,0
155,5,0
156,17,1
157,9,0
158,12,0
159,14,0
160,71,0
161,14,1
162,15,0
163,7,0
164,2,0
165,18,1
166,3,0
167,7,0
168,14,1
169,42,0
170,26,1
171,5,0
172,63,1
173,34,0
174,32,0
175,18,0
176,6,0
177,3,0
178,3,0
179,16,0
180,6,0
181,27,0
182,21,1
183,11,1
184,7,0
185,12,0
186,15,0
187,6,0
188,5,0
189,5,0
190,16,0
191,14,0
192,13,0
193,7,1
194,6,0
195,3,0
196,12,0
197,21,1
198,11,1
199,19,0
200,37,1
201,22,1
202,61,0
203,4,0
204,27,0
205,45,1
206,5,0
207,13,0
208,3,0
209,3,0
210,19,0
211,9,0
212,18,0
213,7,0
214,5,0
215,5,0
216,22,1
217,3,0
218,13,0
219,23,0
220,12,0
221,6,0
222,12,0
223,3,0
224,16,1
225,4,0
226,27,1
227,17,0
228,6,0
229,19,0
230,28,1
231,6,0
232,24,0
233,3,0
234,17,1
235,8,1
236,27,0
237,25,1
238,74,0
239,37,1
240,15,1
241,11,1
242,15,0
243,6,0
244,20,0
245,14,0
246,15,0
247,2,0
248,9,1
249,9,0
250,19,0
251,10,0
252,16,0
253,6,0
254,4,0
255,2,0
256,2,0
257,6,0
258,3,0
259,8,0
260,2,0
261,6,0
262,13,0
263,2,0
264,29,0
265,4,0
266,12,0
267,25,0
268,18,0
269,4,0
270,2,0
271,2,0
272,3,0
273,18,0
274,8,1
275,36,1
276,31,0
277,13,0
278,4,0
279,11,1
280,11,0
281,8,1
282,23,0
283,31,0
284,34,0
285,6,0
286,11,0
287,29,0
288,22,0
289,23,0
290,6,0
291,5,0
292,10,1
293,2,0
294,2,0
295,29,0
296,18,0
297,25,1
298,8,0
299,14,1
300,23,1
301,13,0
302,22,0
303,30,1
304,60,1
305,25,0
306,42,0
307,7,0
308,2,0
309,9,1
310,68,0
311,4,0
312,35,0
313,4,0
314,3,0
315,22,0
316,4,0
317,3,0
318,6,0
319,15,0
320,4,0
321,3,0
322,7,0
323,17,0
324,2,0
325,15,0
326,9,0
327,12,1
328,17,0
329,4,0
330,28,1
331,30,1
332,4,0
333,5,0
334,5,0
335,6,0
336,23,0
337,6,0
338,2,0
339,2,0
340,5,0
341,20,0
342,40,1
343,5,0
344,8,0
345,25,0
346,25,1
347,3,0
348,12,1
349,26,0
350,30,1
351,29,1
352,79,1
353,24,0
354,13,0
355,2,0
356,7,0
357,29,0
358,10,1
359,22,0
360,7,0
361,23,1
362,19,0
363,3,0
364,15,1
365,4,0
366,4,0
367,2,0
368,12,0
369,20,0
370,4,0
371,10,0
372,10,0
373,22,0
374,14,0
375,4,0
376,3,0
377,3,0
378,16,0
379,5,0
380,23,1
381,14,0
382,12,1
383,12,0
384,17,0
385,5,0
386,10,1
387,3,0
388,7,0
389,5,0
390,10,0
391,13,0
392,6,0
393,10,0
394,6,0
395,2,0
396,2,0
397,9,0
398,20,1
399,21,1
400,8,0
401,5,0
402,6,0
403,13,0
404,37,0
405,3,0
406,3,0
407,7,0
408,3,0
409,4,0
410,14,1
411,4,0
412,14,1
413,16,0
414,20,0
415,11,1
416,8,0
417,6,0
418,20,1
419,8,0
420,14,0
421,28,1
422,12,0
423,9,0
424,17,0
425,28,0
426,22,0
427,36,1
428,2,0
429,26,0
430,22,1
431,39,1
432,3,0
433,19,1
434,31,0
435,7,0
436,10,0
437,13,0
438,15,1
439,10,1
440,23,1
441,40,1
442,100,0
443,29,1
444,42,1
445,30,0
446,12,0
447,8,1
448,5,0
449,5,0
450,47,0
451,10,0
452,10,0
453,4,0
454,14,1
455,41,1
456,17,1
457,12,0
458,17,1
459,21,1
460,4,0
461,30,1
462,39,1
463,43,0
464,14,1
465,19,0
466,36,0
467,35,0
468,10,0
469,19,1
470,4,0
471,12,0
472,9,0
473,11,0
474,8,0
475,14,0
476,61,0
477,4,0
478,4,0
479,14,0
480,20,0
481,15,1
482,16,0
483,5,0
484,99,1
485,5,0
486,3,0
487,2,0
488,2,0
489,10,0
490,4,0
491,4,0
492,5,0
493,11,0
494,18,0
495,17,0
496,2,0
497,21,1
498,8,0
499,16,0
500,9,0
501,19,1
502,4,0
503,2,0
504,59,0
505,12,0
506,15,0
507,3,0
508,5,0
509,4,0
510,7,0
511,5,0
512,5,0
513,5,0
514,8,0
515,5,0
516,6,0
