episode,steps,reward
0,3,0
1,14,0
2,2,0
3,6,0
4,2,0
5,2,0
6,2,0
7,2,0
8,20,0
9,14,0
10,6,0
11,9,0
12,7,0
13,3,0
14,11,0
15,6,0
16,6,0
17,19,0
18,18,0
19,5,0
20,6,0
21,6,0
22,9,0
23,4,0
24,2,0
25,3,0
26,9,0
27,4,0
28,6,0
29,2,0
30,10,0
31,5,0
32,2,0
33,3,0
34,16,0
35,4,0
36,3,0
37,2,0
38,9,0
39,7,0
40,2,0
41,13,0
42,2,0
43,17,0
44,8,0
45,2,0
46,16,0
47,6,0
48,3,0
49,8,0
50,8,0
51,7,0
52,5,0
53,5,0
54,3,0
55,2,0
56,13,0
57,3,0
58,21,0
59,6,0
60,13,0
61,7,0
62,14,0
63,12,0
64,8,0
65,44,0
66,8,0
67,5,0
68,4,0
69,22,0
70,10,0
71,4,0
72,5,0
73,21,0
74,23,0
75,3,0
76,49,0
77,22,0
78,12,0
79,51,0
80,17,0
81,18,0
82,20,0
83,4,0
84,19,0
85,6,0
86,10,0
87,14,0
88,9,0
89,10,0
90,22,0
91,7,0
92,18,0
93,4,0
94,3,0
95,32,0
96,11,0
97,6,0
98,32,0
99,16,0
100,25,0
101,5,0
102,11,0
103,5,0
104,15,0
105,6,0
106,7,0
107,4,0
108,17,0
109,9,0
110,6,0
111,14,0
112,14,0
113,5,0
114,13,0
115,13,0
116,13,0
117,11,0
118,9,0
119,4,0
120,16,0
121,4,0
122,6,0
123,14,0
124,23,0
125,21,0
126,4,0
127,11,0
128,26,0
129,6,0
130,18,0
131,4,0
132,16,1
133,4,0
134,7,0
135,8,0
136,8,0
137,33,0
138,6,0
139,9,0
140,15,0
141,27,1
142,9,0
143,12,1
144,46,0
145,34,0
146,12,0
147,4,0
148,13,0
149,39,0
150,11,0
151,35,0
152,27,0
153,17,0
154,7,0
155,6,0
156,31,0
157,11,0
158,28,0
159,8,0
160,42,0
161,9,0
162,21,0
163,20,1
164,50,0
165,38,0
166,40,1
167,41,0
168,10,0
169,11,1
170,20,0
171,10,0
172,9,0
173,9,0
174,14,0
175,16,0
176,66,0
177,9,0
178,20,0
179,9,0
180,15,0
181,45,0
182,12,0
183,14,0
184,57,0
185,31,1
186,10,0
187,6,0
188,26,1
189,4,0
190,15,0
191,21,0
192,16,0
193,56,0
194,21,0
195,12,0
196,22,0
197,12,0
198,9,0
199,12,1
200,48,0
201,19,0
202,30,0
203,5,0
204,21,0
205,100,0
206,21,0
207,12,1
208,75,0
209,30,1
210,8,0
211,10,0
212,5,0
213,17,0
214,41,0
215,17,0
216,22,1
217,14,0
218,20,0
219,11,0
220,96,0
221,41,0
222,35,0
223,7,0
224,24,0
225,17,1
226,4,0
227,19,0
228,40,0
229,15,1
230,7,0
231,26,1
232,11,1
233,41,0
234,13,0
235,10,0
236,69,1
237,8,0
238,16,1
239,31,1
240,6,0
241,15,0
242,55,1
243,6,0
244,22,1
245,8,0
246,63,0
247,12,0
248,12,1
249,13,1
250,12,1
251,4,0
252,24,1
253,16,0
254,51,0
255,32,0
256,54,0
257,30,1
258,9,0
259,9,0
260,43,0
261,20,1
262,10,1
263,76,0
264,9,0
265,29,0
266,42,1
267,10,1
268,4,0
269,18,1
270,19,0
271,16,0
272,27,1
273,30,1
274,26,1
275,24,1
276,22,1
277,12,0
278,57,1
279,8,1
280,31,0
281,33,0
282,12,1
283,14,0
284,94,0
285,33,1
286,51,1
287,22,0
288,19,1
289,19,1
290,21,0
291,31,1
292,50,0
293,26,0
294,23,1
295,66,1
296,11,0
297,29,1
298,24,1
299,49,0
300,27,0
301,77,0
302,74,1
303,18,0
304,100,0
305,93,0
306,10,0
307,35,1
308,21,1
309,50,1
310,44,1
311,8,0
312,16,1
313,90,0
314,13,1
315,8,1
316,46,1
317,11,0
318,5,0
319,99,0
320,34,1
321,15,0
322,16,1
323,22,1
324,9,0
325,14,0
326,19,0
327,37,0
328,14,0
329,8,0
330,21,1
331,24,1
332,17,1
333,20,1
334,35,1
335,85,0
336,24,0
337,65,0
338,28,1
339,40,1
340,29,0
341,20,0
342,25,1
343,18,0
344,17,1
345,13,1
346,18,1
347,18,0
348,25,1
349,19,0
350,23,0
351,29,1
352,18,0
353,23,0
354,61,1
355,36,0
356,8,1
357,43,0
358,32,0
359,23,0
360,9,1
361,4,0
362,13,1
363,16,0
364,36,0
365,22,0
366,79,1
367,19,0
368,78,1
369,23,1
370,23,1
371,13,0
372,15,0
373,69,1
374,7,0
375,8,1
376,12,1
377,62,1
378,62,1
379,10,0
380,12,0
381,19,0
382,15,1
383,6,0
384,23,1
385,4,0
386,7,0
387,14,0
388,100,0
389,79,1
390,42,1
391,12,0
392,11,0
393,13,0
394,14,1
395,34,0
396,16,1
397,22,1
398,15,1
399,8,0
400,29,1
401,10,1
402,41,1
403,19,1
404,23,1
405,45,1
406,40,0
407,10,0
408,74,1
409,19,0
410,57,0
411,55,0
412,15,0
413,12,1
414,19,1
415,25,1
416,39,1
417,9,0
418,7,0
419,21,1
420,9,1
421,22,1
422,38,0
423,9,1
424,62,1
425,15,1
426,21,1
427,28,0
428,42,1
429,10,0
430,13,1
431,25,1
432,65,0
433,17,1
434,32,1
435,5,0
436,21,1
437,19,0
438,10,1
439,32,1
440,15,1
441,16,1
442,27,1
443,60,1
444,20,1
445,19,1
446,19,1
447,100,0
448,25,0
449,42,0
450,4,0
451,20,1
452,29,0
453,63,0
454,17,0
455,6,0
456,10,1
457,38,0
458,41,1
459,34,0
460,96,0
461,24,1
462,38,1
463,35,1
464,5,0
465,54,0
466,22,1
467,19,1
468,65,0
469,27,1
470,6,0
471,100,0
472,25,1
473,13,1
474,28,1
475,18,1
476,25,1
477,15,0
478,18,1
479,54,1
480,10,0
481,52,1
482,20,0
483,17,0
484,15,1
485,13,0
486,71,0
487,71,1
488,4,0
489,100,0
490,49,1
491,41,1
492,76,1
493,9,1
494,82,1
495,42,1
496,14,0
497,20,1
498,42,0
499,31,1
500,98,0
501,37,1
502,37,1
503,16,0
504,30,1
505,26,0
506,16,1
507,57,1
508,40,0
509,33,1
510,41,1
511,32,0
512,78,1
513,20,1
514,11,0
515,45,0
516,32,1
517,17,0
518,34,0
519,23,1
520,33,0
521,18,0
522,67,0
523,52,1
524,14,0
525,35,1
526,17,0
527,4,0
528,12,1
529,22,1
530,9,0
531,8,0
532,12,0
533,11,0
534,8,0
535,51,0
536,40,0
537,6,0
538,21,1
539,28,0
540,9,1
541,22,0
542,38,1
543,4,0
544,25,0
545,57,1
546,48,1
547,48,0
548,17,1
549,40,1
550,16,0
551,39,0
552,12,1
553,9,0
554,18,1
555,10,1
556,21,1
557,19,0
558,60,1
559,100,0
560,29,1
561,26,1
562,18,0
563,39,1
564,16,0
565,37,1
566,66,1
567,30,1
568,18,0
569,50,0
570,19,0
571,55,0
572,7,0
573,38,1
574,100,0
575,9,0
576,6,0
577,36,1
578,26,0
579,21,1
580,31,0
581,4,0
582,63,0
583,8,1
584,10,1
585,34,1
586,20,1
587,33,0
588,11,1
589,30,1
590,100,0
591,12,1
592,31,1
593,13,0
594,49,0
595,18,1
596,34,0
597,100,0
598,29,1
599,24,0
600,28,0
601,26,0
602,73,1
603,19,1
604,26,0
605,16,1
606,41,1
607,51,0
608,43,0
609,36,0
610,54,1
611,17,0
612,18,0
613,53,1
614,19,0
615,20,1
616,4,0
617,100,0
618,18,0
619,30,1
620,20,0
621,26,1
622,20,0
623,10,1
624,50,1
625,13,1
626,25,0
627,5,0
628,42,1
629,38,1
630,100,0
631,24,0
632,20,0
633,10,1
634,12,0
635,8,1
636,20,0
637,100,0
638,85,1
639,15,1
640,68,1
641,84,1
642,67,0
643,58,0
644,19,1
645,26,1
646,23,1
647,15,0
648,10,0
649,6,0
650,18,1
651,38,1
652,38,0
653,26,1
654,9,0
655,20,1
656,8,1
657,25,1
658,8,0
659,13,0
660,23,0
661,19,1
662,62,1
663,23,0
664,53,1
665,16,1
666,25,1
667,25,1
668,29,0
669,67,1
670,9,0
671,17,0
672,15,0
673,9,1
674,15,0
675,25,0
676,20,1
677,81,0
678,67,1
679,21,1
680,18,1
681,39,0
682,42,1
683,29,1
684,64,0
685,25,0
686,19,1
687,59,1
688,11,0
689,42,1
690,18,0
691,9,1
692,15,0
693,35,1
694,100,0
695,14,0
696,28,0
697,8,0
698,10,0
699,98,1
700,58,1
701,8,0
702,9,0
703,11,0
704,42,1
705,36,0
706,16,1
707,17,0
708,9,1
709,30,0
710,8,0
711,38,1
712,13,1
713,17,0
714,22,1
715,23,1
716,62,1
717,23,0
718,13,1
719,44,1
720,29,0
721,18,1
722,32,1
723,29,0
724,21,0
725,19,0
726,8,0
727,33,1
728,100,0
729,68,1
730,14,0
731,49,1
732,12,1
733,16,0
734,13,1
735,60,0
736,34,0
737,17,1
738,13,1
739,52,0
740,61,0
741,8,0
742,41,1
743,100,0
744,40,1
745,44,1
746,28,1
747,43,0
748,87,1
749,10,0
750,38,1
751,16,0
752,30,1
753,30,1
754,17,1
755,7,0
756,14,0
757,16,1
758,18,1
759,9,1
760,15,0
761,50,0
762,10,1
763,26,1
764,27,0
765,16,1
766,18,0
767,15,0
768,32,1
769,100,0
770,99,1
771,41,0
772,22,0
773,22,1
774,100,0
775,15,1
776,19,1
777,20,1
778,26,0
779,15,0
780,8,0
781,17,1
782,18,1
783,25,0
784,8,0
785,44,0
786,12,0
787,66,1
788,29,1
789,39,1
790,8,0
791,77,1
792,28,0
793,90,1
794,14,1
795,69,0
796,24,0
797,6,0
798,22,1
799,8,1
800,6,1
801,100,1
802,37,1
803,32,1
804,34,1
805,24,1
806,6,0
807,32,1
808,8,0
809,9,1
810,29,0
811,17,1
812,73,1
813,21,0
814,6,1
815,33,0
816,21,1
817,28,1
818,9,0
819,43,1
820,35,1
821,18,0
822,16,0
823,12,0
824,16,0
825,82,0
826,15,1
827,6,0
828,8,0
829,24,1
830,16,0
831,47,1
832,9,0
833,64,1
834,16,0
835,61,1
836,19,1
837,13,0
838,30,1
839,12,0
840,35,0
841,16,1
842,26,1
843,34,1
844,32,1
845,21,0
846,10,0
847,21,1
848,13,1
849,17,0
850,19,0
851,43,0
852,37,1
853,6,0
854,48,1
855,23,0
856,6,0
857,41,0
858,30,1
859,20,1
860,44,0
861,21,1
862,18,1
863,43,1
864,17,1
865,18,1
866,58,0
867,31,1
868,35,1
869,18,1
870,14,1
871,17,0
872,13,0
873,18,0
874,43,1
875,16,0
876,32,1
877,33,0
878,49,1
879,6,1
880,32,1
881,20,1
882,56,1
883,10,1
884,9,0
885,12,0
886,31,1
887,75,1
888,41,1
889,10,0
890,18,1
891,79,0
892,5,0
893,12,0
894,90,1
895,12,1
896,8,0
897,21,0
898,40,0
899,11,0
900,22,1
901,19,0
902,32,0
903,79,1
904,56,0
905,65,1
906,91,0
907,24,1
908,33,0
909,65,1
910,40,0
911,39,0
912,11,1
913,23,1
914,23,0
915,31,0
916,48,0
917,9,1
918,52,1
919,17,1
920,10,0
921,21,1
922,27,1
923,39,0
924,25,1
925,62,1
926,4,0
927,37,1
928,12,0
929,10,0
930,45,0
931,100,0
932,18,1
933,12,0
934,32,0
935,4,0
936,38,1
937,7,1
938,33,0
939,79,1
940,12,0
941,7,1
942,8,1
943,64,1
944,11,0
945,22,1
946,16,1
947,17,1
948,20,1
949,16,1
950,91,0
951,8,0
952,56,0
953,19,0
954,35,0
955,6,0
956,57,1
957,41,0
958,5,0
959,100,0
960,54,1
961,48,0
962,22,0
963,34,0
964,34,1
965,19,1
966,15,1
967,29,0
968,45,1
969,15,1
970,18,1
971,27,1
972,96,1
973,47,1
974,23,0
975,20,1
976,59,0
977,26,1
978,18,0
979,47,0
980,7,1
981,50,0
982,10,1
983,8,0
984,13,0
985,49,1
986,54,1
987,18,0
988,67,1
989,10,0
990,29,1
991,11,1
992,29,0
993,22,1
994,25,0
995,9,1
996,35,1
997,9,0
998,88,0
999,13,0
1000,16,1
1001,20,0
1002,17,1
1003,9,0
1004,23,1
1005,20,1
1006,7,1
1007,17,0
1008,52,1
1009,100,0
1010,85,0
1011,17,0
1012,50,1
1013,21,0
1014,21,0
1015,65,0
1016,11,1
1017,26,0
1018,31,0
1019,13,1
1020,8,1
1021,43,1
1022,62,0
1023,18,1
1024,31,1
1025,35,0
1026,23,1
1027,38,1
1028,12,1
1029,27,0
