episode,steps,reward
0,13,0
1,37,0
2,22,0
3,82,0
4,17,0
5,38,0
6,17,0
7,20,0
8,51,0
9,76,0
10,14,0
11,17,0
12,16,0
13,68,0
14,30,0
15,25,0
16,12,0
17,50,0
18,11,0
19,27,0
20,33,0
21,36,0
22,17,0
23,30,0
24,8,0
25,20,0
26,7,0
27,35,0
28,13,0
29,21,0
30,23,0
31,13,0
32,19,0
33,39,0
34,16,0
35,13,0
36,30,0
37,40,0
38,18,0
39,37,0
40,19,0
41,7,0
42,27,0
43,22,0
44,22,0
45,32,0
46,16,0
47,47,0
48,15,0
49,15,0
50,7,0
51,27,0
52,21,0
53,8,0
54,28,0
55,21,0
56,24,0
57,13,0
58,54,0
59,10,0
60,16,0
61,17,0
62,25,0
63,22,0
64,25,0
65,9,0
66,70,0
67,45,0
68,24,0
69,6,0
70,19,0
71,8,0
72,43,0
73,61,0
74,10,0
75,10,0
76,7,0
77,9,0
78,61,0
79,15,0
80,38,0
81,14,0
82,12,0
83,22,0
84,25,0
85,23,0
86,13,0
87,18,0
88,11,0
89,20,0
90,17,0
91,13,0
92,20,0
93,31,0
94,17,0
95,10,0
96,17,0
97,12,0
98,5,0
99,18,0
100,12,0
101,10,0
102,23,0
103,84,0
104,13,0
105,83,0
106,22,0
107,9,0
108,20,0
109,22,0
110,19,0
111,18,0
112,41,0
113,12,0
114,14,0
115,12,0
116,15,0
117,16,0
118,34,0
119,40,0
120,42,0
121,100,0
122,21,0
123,17,0
124,31,0
125,25,0
126,34,0
127,40,0
128,78,0
129,21,0
130,17,0
131,16,0
132,13,0
133,8,0
134,29,0
135,14,0
136,34,0
137,10,0
138,21,0
139,19,0
140,19,0
141,15,0
142,24,0
143,21,0
144,20,0
145,34,0
146,23,0
147,6,0
148,75,0
149,46,0
150,7,0
151,22,0
152,41,0
153,59,0
154,17,0
155,24,0
156,11,0
157,30,0
158,21,0
159,35,0
160,21,0
161,46,0
162,17,0
163,29,0
164,25,0
165,8,0
166,7,0
167,14,0
168,19,0
169,11,0
170,12,0
171,11,0
172,23,0
173,21,0
174,22,0
175,17,0
176,32,0
177,17,0
178,10,0
179,24,0
180,15,0
181,37,0
182,19,0
183,60,0
184,147,0
185,33,0
186,20,0
187,13,0
188,13,0
189,37,0
190,24,0
191,27,0
192,39,0
193,11,0
194,30,0
195,30,0
196,16,0
197,14,0
198,14,0
199,36,0
200,38,0
201,24,0
202,25,0
203,17,0
204,25,0
205,16,0
206,38,0
207,13,0
208,10,0
209,19,0
210,17,0
211,19,0
212,16,0
213,16,0
214,8,0
215,12,0
216,21,0
217,13,0
218,76,0
219,9,0
220,9,0
221,9,0
222,19,0
223,13,0
224,16,0
225,46,0
226,11,0
227,11,0
228,38,0
229,19,0
230,29,0
231,41,0
232,42,0
233,10,0
234,12,0
235,11,0
236,20,0
237,25,0
238,21,1
239,22,0
240,12,0
241,15,0
242,16,0
243,11,0
244,16,0
245,11,0
246,45,0
247,29,0
248,25,0
249,23,0
250,10,0
251,13,0
252,16,0
253,26,0
254,48,0
255,29,0
256,32,0
257,10,0
258,87,0
259,35,0
260,35,0
261,17,0
262,27,0
263,27,0
264,50,0
265,27,0
266,32,1
267,50,0
268,13,0
269,9,0
270,19,0
271,21,0
272,23,0
273,14,0
274,8,0
275,24,0
276,24,0
277,30,0
278,38,0
279,21,0
280,11,0
281,14,0
282,46,0
283,12,0
284,9,0
285,40,0
286,19,0
287,30,0
288,16,0
289,51,0
290,32,0
291,65,0
292,41,0
293,13,0
294,20,0
295,11,0
296,42,0
297,19,0
298,31,0
299,8,0
300,30,0
301,27,0
302,37,0
303,33,0
304,55,0
305,11,0
306,38,0
307,30,0
308,7,0
309,8,0
310,16,0
311,28,0
312,54,0
313,29,0
314,15,0
315,40,0
316,53,0
317,30,0
318,29,0
319,56,0
320,52,0
321,26,0
322,34,0
323,22,0
324,12,0
325,26,0
326,40,0
327,29,0
328,12,0
329,24,0
330,38,0
331,24,0
332,78,0
333,8,0
334,18,0
